id,intent_label,should_escalate,escalation_reason,reply_quality,difficulty,customer_message,brand_reply
gold_0001,account_issue,YES,Angry/frustrated customer; Brand reply is generic/unhelpful,2,medium,"<MENTION> I’ve not booked an Uber, is this a real text from you or scam? Is some","<MENTION> We're here to help! Send us a note here, <URL> and our team will be in"
gold_0002,account_issue,NO,,3,medium,<MENTION> I can't pay my ride with paypal account while the money is there . Don,"<MENTION> We apologize for the trouble here! Send us a note here, <URL> and our "
gold_0003,account_issue,YES,Account issue; Brand reply is generic/unhelpful,2,medium,<MENTION> I’m unable to add my existing uber/go bank card to my uber account. He,"<MENTION> Hi there, we're here to help! Send us a note here; <URL> so we can hel"
gold_0004,account_issue,NO,,1,medium,<MENTION> I am getting offers for Kolkata rides whereas I am based in Noida righ,<MENTION> Happy to help! Please reach out to <URL> and fill out the 4 boxes at t
gold_0005,account_issue,YES,Angry/frustrated customer; Account issue; Brand reply is generic/unhelpful,3,medium,<MENTION> customer service suggests me to buy a new sim card and device just to ,<MENTION> Here to help! Send us a DM (direct message) with your email address so
gold_0006,account_issue,YES,Account issue,3,medium,<MENTION> I've sent 4 message (and confirmed my e-mail address 4 times) regardin,<MENTION> Oh no! Please DM us the email linked to your account so we can look in
gold_0007,account_issue,YES,Angry/frustrated customer; Account issue; Brand reply is generic/unhelpful,2,medium,#uber #Useless #AwefulCustomerCare My account is disabled since 4 years. No poss,<MENTION> Here to help! Please send us a note via <URL> so our team can connect.
gold_0008,account_issue,YES,Account issue; Unresolved in metadata,1,hard,<MENTION> I'm locked out of my Uber app. Complained via website but no response.,<MENTION> Happy to help - our team has received your support message and followe
gold_0009,account_issue,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,Someone has been trying to get into my Uber account all morning. Sigh.,<MENTION> We're here to help! Send us a DM with your email address so we can fol
gold_0010,account_issue,YES,Unresolved in metadata,2,hard,<MENTION> I try to get a ride with uber and my account said error ? What happen ,<MENTION> We've followed up via DM!
gold_0011,account_issue,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,<MENTION> I changed my number in my Uber account to a different one and now I ca,<MENTION> Can you DM us your email address associated with your Uber account so 
gold_0012,account_issue,YES,Account issue; Unresolved in metadata,2,hard,"<MENTION> <MENTION> hey team, M quite a loyalist of Uber bt app hs banned my ph ","<MENTION> Hi Azra, submitting multiple support contacts may delay response times"
gold_0013,account_issue,YES,Unresolved in metadata,1,hard,<MENTION> ride pass was extended on my account but was hoping to purchase the ri,<MENTION> Thank you for reaching out to us. No word at the moment. You should re
gold_0014,account_issue,YES,Unresolved in metadata,2,hard,<MENTION> dear Dara my Uber account has been deactivated and <MENTION> is not re,"<MENTION> Hi, Nagarajan. We haven't received your Direct Message yet. Please fol"
gold_0015,delivery_quality,YES,Brand reply is generic/unhelpful,2,medium,<MENTION> I want an uber.... there are Uber's all 1 min away. So I order one. .,<MENTION> Here to help! Send us a note via <URL> and we'll be in touch.
gold_0016,delivery_quality,NO,,2,medium,<MENTION> I can’t go online. My scooter isn’t supported in Rotterdam???? #uberea,<MENTION> Hi - we have followed up with your DM.
gold_0017,delivery_quality,YES,Brand reply is generic/unhelpful,3,medium,<MENTION> Why does the McDonalds near me have ubereats but not deliver to me? I ,"<MENTION> Sorry for the trouble! Send us a note here, <URL> and our team will be"
gold_0018,delivery_quality,YES,Brand reply is generic/unhelpful,2,medium,uber can't order <MENTION> because of a phone number varification and your chelp,"<MENTION> Here to help! Send us a note here, <URL> and our team will follow up."
gold_0019,delivery_quality,YES,Brand reply is generic/unhelpful,2,medium,"<MENTION> Whenever I order food or book uber, it is getting failed. pls check sc",<MENTION> We're here to help! Send us a DM with your email address so we can con
gold_0020,delivery_quality,NO,,3,medium,So <MENTION> didn’t show up when I searched on the <MENTION> app. I knew it was ,<MENTION> We're so sorry you didn’t get your free Original Glazed Dozen box. Dem
gold_0021,delivery_quality,NO,,2,medium,Do you deliver in the Pinetown newgermany area? #UberEATS,<MENTION> Hi! We're here to help. Let us know if you have any specific questions
gold_0022,delivery_quality,YES,Brand reply is generic/unhelpful; Unresolved in metadata,3,hard,<MENTION> <MENTION> We had a problem with our UberEats order from tonight. Can y,<MENTION> Let's take a look. Please DM us your account email address so we can f
gold_0023,delivery_quality,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,#UberEATS pathetic service.. we have ordered for veg food and received non veg..,<MENTION> Hey Ankit - you can DM us using the following link. <URL>
gold_0024,delivery_quality,YES,Unresolved in metadata,3,hard,Y uber eats drives complain wen u order from somewhere far. Isn’t that they job ,<MENTION> We're sorry to hear this was your experience. Please send us a DM of t
gold_0025,delivery_quality,YES,Unresolved in metadata,1,hard,<MENTION> Wait the restaurant I want is part of the ubereats network but it does,"<MENTION> We want to get in touch, Vani. Can you please send a note our way via "
gold_0026,delivery_quality,YES,Angry/frustrated customer; Unresolved in metadata,2,hard,.<MENTION> This is my wife. She was home sick and went hungry ALL DAY because yo,<MENTION> We're here to help. Please DM us the email address used to contact sup
gold_0027,delivery_quality,YES,Unresolved in metadata,3,hard,<MENTION> <MENTION> So you were listed on ubereats for Camden yesterday then as ,"<MENTION> Thanks for reaching out, Tanesha. We're so sorry you didn’t get your f"
gold_0028,delivery_quality,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,#UBEREATSSUCKS <URL>,<MENTION> We're here to help! Send us a DM with your email address so we can fol
gold_0029,delivery_timing,YES,Brand reply is generic/unhelpful,2,medium,<MENTION> my profile has said onboarding for about a week now and I was wonderin,<MENTION> Happy to follow up! Contact us via <URL> so we can connect.
gold_0030,delivery_timing,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,medium,<MENTION> Second time now uber is saying a restaurant is too far away that I usu,<MENTION> Here to help! Please send us your email address via DM so we can conne
gold_0031,delivery_timing,NO,,1,medium,<MENTION> not only was he threatening but he almost caused an accident. My hotel,<MENTION> Happy to help! Please reach out here so we can do so: <URL>
gold_0032,delivery_timing,YES,Angry/frustrated customer,2,medium,<MENTION> delayed delivery 2 days in a row... customer support not accessible. #,<MENTION> That's not what we like to hear. Please DM us your Uber account email 
gold_0033,delivery_timing,YES,Angry/frustrated customer; Brand reply is generic/unhelpful,2,medium,#UberEATS What terrible service. Ordered in Edinburgh on Sat - took 1.5 hours. O,"<MENTION> Thanks for your patience, Christopher. Please DM us your account email"
gold_0034,delivery_timing,NO,,3,medium,also this is the first time i order from uber eats here and im crying it took li,<MENTION> Here to help! Please send us a note at <URL> and we'll be happy to loo
gold_0035,delivery_timing,NO,,1,medium,<MENTION> Uber prtnr app's builtin map no longer zoom in automatically when pick,<MENTION> Let's look further into this! Please reach out to us here: <URL> so we
gold_0036,delivery_timing,YES,Unresolved in metadata,3,hard,"Call UberEats about my order an hour late, <MENTION> puts me on a line with no p",<MENTION> That's not what we like to hear. Please send us a DM with your email a
gold_0037,delivery_timing,YES,Unresolved in metadata,3,hard,<MENTION> Hey Uber - I'm looking to contact someone and email about our business,<MENTION> Let's look into this - DM us the email address connected with your pro
gold_0038,driver_quality_issue,YES,Financial issue,3,medium,<MENTION> Lost my phone in Uber. Unable to contact the driver. Cannot log in to ,<MENTION> So sorry to hear that! Please sign in via the following link on a lapt
gold_0039,driver_quality_issue,YES,Brand reply is generic/unhelpful,2,medium,"<MENTION> Apparently there were ""no drivers"" because of the heat... weird excuse",<MENTION> Here to help. Send us a note at <URL> so our team can connect.
gold_0040,driver_quality_issue,YES,Unresolved in metadata,2,medium,"<MENTION> ur drivers are insane. He hit a guy, and b4 I could see the plate, he ",<MENTION> We take this very seriously. Please send us a DM with your email addre
gold_0041,driver_quality_issue,YES,Brand reply is generic/unhelpful,2,medium,Unsatisfactory response from <MENTION> regarding a driver eating and driving. Un,"<MENTION> Happy to take a second look, Jenna. Please DM us your account email an"
gold_0042,driver_quality_issue,NO,,3,medium,<MENTION> the item was returned to me but only after the driver insisted i pay h,"<MENTION> Yeah, that doesn't sound cool at all, Brittany. Go ahead and DM us so "
gold_0043,driver_quality_issue,YES,Brand reply is generic/unhelpful,2,medium,<MENTION> <MENTION> thanks to your drivers we missed out flight. That's 10k I'm ,<MENTION> Please send us a DM with your account email address + details and we'l
gold_0044,driver_quality_issue,YES,Unresolved in metadata,2,medium,An <MENTION> driver told my wife to get the f—k out of his car after she apologi,"<MENTION> Due to our privacy policy, we will have to speak directly to the accou"
gold_0045,driver_quality_issue,YES,Unresolved in metadata,3,hard,<MENTION> <MENTION> <MENTION> Do you have any emergency customer service no.? Wh,<MENTION> We're sorry for the trouble! We're currently reviewing your email and 
gold_0046,driver_quality_issue,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,<MENTION> i had booked a 2-drop ride bt Driver deliberately ended trip in betwee,<MENTION> Here to help! Send us a DM with your email address so we can follow up
gold_0047,driver_quality_issue,YES,Unresolved in metadata,1,hard,Serious threat to ur smart device <MENTION>. Drivers steal the 📱 & refuse to ret,"<MENTION> After reviewing your account, we show that someone in the appropriate "
gold_0048,driver_quality_issue,YES,Angry/frustrated customer; Unresolved in metadata,2,hard,<MENTION> <MENTION> It looks like the driver has never cleaned that seat at all ,<MENTION> We can definitely take a closer look! Please send us a DM with your em
