id,customer_message,intent_inferred,intent_label,should_escalate,escalation_reason,reply_quality,difficulty,notes
gold_0001,"<MENTION> I’ve not booked an Uber, is this a real text from you or scam? Is someone hacking my Uber ",account_issue,,,,,medium,
gold_0002,<MENTION> I can't pay my ride with paypal account while the money is there . Don't own a creditcard.,account_issue,,,,,medium,
gold_0003,<MENTION> I’m unable to add my existing uber/go bank card to my uber account. Help,account_issue,,,,,medium,
gold_0004,<MENTION> I am getting offers for Kolkata rides whereas I am based in Noida right now. Please change,account_issue,,,,,medium,
gold_0005,<MENTION> customer service suggests me to buy a new sim card and device just to use uber 🤣🤐🙄 because,account_issue,,,,,medium,
gold_0006,<MENTION> I've sent 4 message (and confirmed my e-mail address 4 times) regarding my hacked/disabled,account_issue,,,,,medium,
gold_0007,#uber #Useless #AwefulCustomerCare My account is disabled since 4 years. No possible way to reinstat,account_issue,,,,,medium,
gold_0008,<MENTION> I'm locked out of my Uber app. Complained via website but no response. Emailed Uber- got a,account_issue,,,,,hard,
gold_0009,Someone has been trying to get into my Uber account all morning. Sigh.,account_issue,,,,,hard,
gold_0010,<MENTION> I try to get a ride with uber and my account said error ? What happen I need my uber fix p,account_issue,,,,,hard,
gold_0011,"<MENTION> I changed my number in my Uber account to a different one and now I cannot change it back,",account_issue,,,,,hard,
gold_0012,"<MENTION> <MENTION> hey team, M quite a loyalist of Uber bt app hs banned my ph nmbr & m unable to s",account_issue,,,,,hard,
gold_0013,<MENTION> ride pass was extended on my account but was hoping to purchase the ride pass for November,account_issue,,,,,hard,
gold_0014,<MENTION> dear Dara my Uber account has been deactivated and <MENTION> is not responding,account_issue,,,,,hard,
gold_0015,<MENTION> I want an uber.... there are Uber's all 1 min away. So I order one. .,delivery_quality,,,,,medium,
gold_0016,<MENTION> I can’t go online. My scooter isn’t supported in Rotterdam???? #ubereats,delivery_quality,,,,,medium,
gold_0017,<MENTION> Why does the McDonalds near me have ubereats but not deliver to me? I live within 5 minute,delivery_quality,,,,,medium,
gold_0018,uber can't order <MENTION> because of a phone number varification and your chelp section doesnt have,delivery_quality,,,,,medium,
gold_0019,"<MENTION> Whenever I order food or book uber, it is getting failed. pls check screenshot for your re",delivery_quality,,,,,medium,
gold_0020,So <MENTION> didn’t show up when I searched on the <MENTION> app. I knew it was too good to be true.,delivery_quality,,,,,medium,
gold_0021,Do you deliver in the Pinetown newgermany area? #UberEATS,delivery_quality,,,,,medium,
gold_0022,<MENTION> <MENTION> We had a problem with our UberEats order from tonight. Can you help?,delivery_quality,,,,,hard,
gold_0023,#UberEATS pathetic service.. we have ordered for veg food and received non veg... This is not accept,delivery_quality,,,,,hard,
gold_0024,Y uber eats drives complain wen u order from somewhere far. Isn’t that they job 😒,delivery_quality,,,,,hard,
gold_0025,<MENTION> Wait the restaurant I want is part of the ubereats network but it doesn’t show up when I l,delivery_quality,,,,,hard,
gold_0026,.<MENTION> This is my wife. She was home sick and went hungry ALL DAY because you failed to fulfill ,delivery_quality,,,,,hard,
gold_0027,<MENTION> <MENTION> So you were listed on ubereats for Camden yesterday then as soon as 2pm hits you,delivery_quality,,,,,hard,
gold_0028,#UBEREATSSUCKS <URL>,delivery_quality,,,,,hard,
gold_0029,<MENTION> my profile has said onboarding for about a week now and I was wondering how much longer be,delivery_timing,,,,,medium,
